artist id,artist name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time signature,duration,loudness,audio md5,valence,danceability,title,
ARLGIX31187B9AE9A0,Jay-Z,SOGYEYD13C9B2F1228,4,0.736423,0.307887,89.857,0.342084,0.052302,0.000412,1,4,203.36281,-6.782,be604ca2222d56efc15327e9bc369a09,0.472059,0.823943,Bonnie , Clyde
ARNRBW31187B98F70D,Nelson,SOETKSL1315CD46F5C,1,0.939149,0.754023,123.379,0.065374,0.29539,3.00E-06,1,4,277.39955,-5.846,19abcbfd443c689937951d043ff9648e,0.603813,0.385725,(Can’t Live Without Your) Love And Affection,
ARHFCP01187B994361,*NSync,SOWYLOR13E90478B57,10,0.399831,0.110907,84.025,0.03216,0.464674,0,1,4,275.25601,-15.596,879ad9c5abd3f01adea8287343c3408a,0.374397,0.602917,(God Must Have Spent) A Little More Time On You,
ARCBD0U1187FB466EF,Nelly,SOCGRHF13F30463941,2,0.607496,0.611134,81.38,0.154497,0.008703,0,1,4,265.57288,-7.178,d4b88bfa7e21e7eda6df7a45650a5c7f,0.566086,0.87976,Country Grammar,
ARMTECY1187FB41948,Cutting Crew,SOCFZES1377B2A87F6,11,0.984677,0.051448,153.328,0.189968,5.20E-05,5.60E-05,0,4,219.02621,-4.207,8ef9d9b32cf96018a489970c6a6a6a8e,0.390871,0.336091,Died In Your Arms,
ARW8KOT1187B99A7D7,Bill Medley,SOMAXWF133A921B34C,9,0.999449,0.378579,107.006,0.107999,0.135906,0.93029,1,4,287.99955,-6.525,3db62fdb276163bddfd7a45f8cd75960,0.024728,0.408002,The Time Of My Life - Dirty Dancing,
AROKXVO1187FB4D0E9,Paula Abdul,SOJEUZR1461EBDFE94,1,0.85426,0.085244,119.977,0.073594,0.096142,0.002964,1,4,322.66621,-8.325,01654f0a68153747d6177fbbae4014d9,0.888389,0.768287,The Way That You Love Me,
ARGQL2Q1187B9B0149,Sean Paul,SOBOFKC13EE3211898,8,0.630107,0.063805,96.163,0.314091,0.175725,0,1,4,252.97288,-4.81,d3bb052f1b9b313bb2404bc8fd8c54f9,0.613344,0.870009,Give It Up To Me,
AR03BDP1187FB5B324,Britney Spears,SOXQKKC144C9786992,10,0.860348,0.43162,100.975,0.03549,0.063215,0.001877,0,4,197.88757,-11.675,e1eeebe7c2a01b06e755b41ce6369a42,0.534088,0.654562,(You Drive Me) Crazy,
AR03BDP1187FB5B324,Britney Spears,SODBJKU1460DEB42E8,0,0.68145,0.664593,92.979,0.031894,0.211033,6.50E-05,0,4,210.09333,-6.32,,0.895156,0.7554,...Baby One More Time,
ARTN7KV1187FB4CF64,Amerie,SOHBWHI145B0C748DF,10,0.96255,0.035596,127.867,0.323824,0.144471,2.90E-05,0,5,236.11646,-3.374,,0.878124,0.618277,1 Thing,
ARS2P621187FB37B82,Ciara,SOGIXPY144BD39B9C9,7,0.875178,0.050422,125.997,0.057552,0.131584,0.503175,0,4,282.17424,-4.89,d658ace26f2fc5b38c120c5e1925f374,0.972513,0.757638,1& 2 Step,
ARAH1Y21187B9AFC50,Coolio,SOQAZPL1315CD509C8,5,0.614312,0.076587,115.068,0.157623,0.134437,0,0,4,205.37424,-9.17,60a36cbf3d3fb2235e3a65191bfbc3f9,0.693137,0.87623,1-2-3-4,
1 2 2003,Gloria Estefan, unable to get info,1/2/2003 doesn't exist,,,,,,,,,,,,,,,
AR6NRQI1187FB37544,Feist,SOFLRAT1315CD47AD0,2,0.483922,0.089251,109.949,0.049447,0.230511,6.00E-06,1,4,183.62295,-7.463,6a9175d05f382d92060306e672990b1c,0.592722,0.709878,1234,
AR8KOWK1187FB4CB95,Skid Row,SOIWTNU13D748066D1,6,0.136778,0.229714,90.62,0.042382,0.664054,0.866236,1,4,25.96526,-16.65,87a460e7290416502c121f60192b98fa,0.366038,0.547262,18 And Life,
AR7VWZ11187B98DA42,Spice Girls,SOCTFGJ14616587D9B,6,0.685431,0.27175,143.985,0.027142,0.306135,5.50E-05,1,4,242.30621,-6.998,4ab2c98d20def860e643c842a64aab6d,0.660017,0.648573,2 Become 1,
2 Legit 2 Quit,M.C. Hammer, unable to get info,too legit 2 quit only has intrumental version,,,,,,,,,,,,,,,
AR23C041187FB4D534,50 Cent,SOBYPEC12B0B80A4DA,6,0.80778,0.049265,90.922,0.302982,0.341648,0.000131,0,4,224.39955,-4.137,669d06ff75292cdf64018f6807f0a9c9,0.908516,0.579666,21 Questions,
ARQZHD91187FB5B6A8,Kevon Edmonds,SOLFBVK12AF72A234F,4,0.627595,0.100927,116.045,0.035845,0.069507,0,1,4,274.26621,-5.646,75e07e6c028258b10bd9af649d88d51e,0.306846,0.689103,24/7,
AR03BDP1187FB5B324,Britney Spears,SOWABQJ13AA4E8DD7B,5,0.379223,0.286551,139.152,0.061783,0.03564,0,0,4,196.54485,-14.01,f0a2bac5c88b44e68ed30a23745a6d72,0.846637,0.678775,3,
ARAKRUA1187B9B0634,The KLF,SORHAZX14641EDD864,0,0.46351,0.163699,115.984,0.031033,0.008446,0.726371,1,4,360.91955,-15.71,24e3fb0c3d1d2b00262d319ae60f4e9c,0.609465,0.619685,3 A.M. Eternal - Original,
ARBEOHF1187B9B044D,Madonna,SOMFTKL12AB017BBE9,2,0.787188,0.073136,113.047,0.088928,0.0143,0.00513,1,4,244.39955,-7.256,83a19650750c9ac4b49b6a5c9b0c09fd,0.701336,0.756002,4 Minutes,
ARR9XGB1187B9912E6,Boyz II Men,SOBQIYG13E907D0755,1,0.31486,0.293188,98.429,0.043789,0.738617,1.80E-05,1,4,297.31156,-18.682,13dcd2cdbbce9b57b427f9ea9457c4c2,0.21601,0.549159,4 Seasons Of Loneliness,
ARFO97B1187B9B67EF,T-Pain,SOQNRQN14617FF53FD,7,0.749564,0.101576,82.162,0.242879,0.075947,0,0,4,281.21288,-5.649,9ff93bd8ff5d00d540cd28093fd28983,0.350847,0.514627,5 O'Clock,
ARUDYKB11F4C83C269,Lil Wayne,SOUYVOU14373B73F0E,2,0.459079,0.092147,70.746,0.334883,0.000772,0,1,3,272.35156,-14.442,de017c4165dbaab6599b3406e0b25dc7,0.572086,0.511338,6 Foot 7 Foot,
7,Prince And The New Power Generation, unable to get info,,,,,,,,,,,,,,,,
ARB3YNF1187B992AF0,Craig David,SOKJRPB12B0B80B5C2,4,0.824289,0.098449,83.001,0.051716,0.284102,0,0,4,237.59955,-7.366,,0.867555,0.645163,7 Days,
ARYAVBS1187FB5B46C,Miley Cyrus,SOIVAYN13D3FD6EB7D,9,0.878694,0.156973,125.012,0.043829,0.000834,0.000101,1,4,178.65288,-5.368,8d21ea3a5729127f7ea9230de0f02536,0.767719,0.650177,7 Things,
ARXRPXX1187FB52EC6,Blaque,SOXHRIG13F6665BFA1,1,0.424766,0.085833,121.66,0.238674,0.003785,7.00E-06,1,4,306.68871,-9.5,86c4b20ff8a4de2b2e77d2ba8373f67a,0.359515,0.866296,808,
