song_title,artist1,artist2,SO,AR,AR_code_for_a1_a2,AR_Notes,genre
Bonnie Clyde,Jay-Z,Beyonce Knowles,,,,,
Love And Affection,Nelson,,,,,,
A Little More Time On You,NSync,,,,,,
Country Grammar,Nelly,,,,,,
Died In Your Arms,Cutting Crew,,,,,,
The Time Of My Life,Bill Medley,Jennifer Warnes,,,,,
The Way That You Love Me,Paula Abdul,,,,,,
Give It Up To Me,Sean Paul,Keyshia Cole,,,,,
Crazy,Britney Spears,,,,,,
...Baby One More Time,Britney Spears,,,,,,
1 Thing,Amerie,,,,,,
1  2 Step,Ciara,Missy Elliott,,,,,
1  2  3  4,Coolio,,,,,,
1 2 2003,Gloria Estefan,Miami Sound Machine,,,,,
1234,Feist,,,,,,
18 And Life,Skid Row,,,,,,
2 Become 1,Spice Girls,,,,,,
2 Legit 2 Quit,M.C. Hammer,,,,,,
21 Questions,50 Cent,Nate Dogg,,,,,
24 7,Kevon Edmonds,,,,,,
3,Britney Spears,,,,,,
3 A.M. Eternal,The KLF,,,,,,
4 Minutes,Madonna,Justin Timberlake,,,,,
4 Seasons Of Loneliness,Boyz II Men,,,,,,
5 O'Clock,T-Pain,Wiz Khalifa,Lily Allen,,,,
6 Foot 7 Foot,Lil Wayne,Cory Gunz,,,,,
7,Prince And The New Power Generation,,,,,,
7 Days,Craig David,,,,,,
7 Things,Miley Cyrus,,,,,,
808,Blaque,,,,,,
A Bay Bay,Hurricane Chris,,,,,,
A Different Corner,George Michael,,,,,,
A Matter Of Trust,Billy Joel,,,,,,
A Milli,Lil Wayne,,,,,,
A Moment Like This,Kelly Clarkson,,,,,,
A Song For Mama,Boyz II Men,,,,,,
A Thousand Miles,Vanessa Carlton,,,,,,
A View To A Kill,Duran Duran,,,,,,
A Whole New World,Peabo Bryson,,,,,,
A Woman's Worth,Alicia Keys,,,,,,
Absolutely,Nine Days,,,,,,
Achy Breaky Heart,Billy Ray Cyrus,,,,,,
Addams Groove,M.C. Hammer,,,,,,
Addicted To Love,Robert Palmer,,,,,,
Addictive,Truth Hurts,Rakim,,,,,
Adia,Sarah McLachlan,,,,,,
After All,Cher,,,,,,
After The Rain,Nelson,,,,,,
Again,Janet Jackson,,,,,,
Again,Lenny Kravitz,,,,,,
Ain't 2 Proud 2 Beg,TLC,,,,,,
Ain't It Funny,Jennifer Lopez,Ja Rule,,,,,
Ain't No Other Man,Christina Aguilera,,,,,,
Air Force Ones,Nelly,Kyjuan,Ali,Murphy Lee,,,
Airplanes,B.o.B,Hayley Williams,,,,,
Alejandro,Lady Gaga,,,,,,
Alive And Kicking,Simple Minds,,,,,,
All 4 Love,Color Me Badd,,,,,,
All Around The World,Lisa Stansfield,,,,,,
All By Myself,Celine Dion,,,,,,
All Cried Out,Allure,112,,,,,
All Cried Out,Lisa Lisa,,,,,,
All Falls Down,Kanye West,Syleena Johnson,,,,,
All For Love,Bryan Adams,Rod Stewart,Sting,,,,
All For You,Janet Jackson,,,,,,
All I Have,Jennifer Lopez,LL Cool J,,,,,
All I Have To Give,Backstreet Boys,,,,,,
All I Need,Jack Wagner,,,,,,
All I Need Is A Miracle,Mike + The Mechanics,,,,,,
All I Wanna Do,Sheryl Crow,,,,,,
All I Wanna Do Is Make Love To You,Heart,,,,,,
All My Life,K-Ci And JoJo,,,,,,
All Night Long,Faith Evans,Puff Daddy,,,,,
All Or Nothing,Milli Vanilli,,,,,,
All Or Nothing,O-Town,,,,,,
All She Wants to Do Is Dance,Don Henley,,,,,,
All Star,Smash Mouth,,,,,,
All That She Wants,Ace Of Base,,,,,,
All The Man That I Need,Whitney Houston,,,,,,
All The Small Things,Blink-182,,,,,,
All This Time,Sting,,,,,,
All This Time,Tiffany,,,,,,
All You Wanted,Michelle Branch,,,,,,
Alone,Heart,,,,,,
Alphabet St.,Prince,,,,,,
Alright,Janet Jackson,,,,,,
Always,Atlantic Starr,,,,,,
Always,Bon Jovi,,,,,,
Always Be My Baby,Mariah Carey,,,,,,
Always On My Mind,Pet Shop Boys,,,,,,
Always On Time,Ja Rule,Ashanti,,,,,
Amanda,Boston,,,,,,
Amazed,Lonestar,,,,,,
American Boy,Estelle,Kanye West,,,,,
Angel,Aerosmith,,,,,,
Angel,Madonna,,,,,,
Angel,Sarah McLachlan,,,,,,
Angel,Shaggy,Rayvon,,,,,
Angel Eyes,The Jeff Healey Band,,,,,,
Angel Of Mine,Monica,,,,,,
Angelia,Richard Marx,,,,,,
Anniversary,Tony Toni Tone,,,,,,
Another Day In Paradise,Phil Collins,,,,,,
Another Night,Real McCoy,,,,,,
Another Sad Love Song,Toni Braxton,,,,,,
Any Time  Any Place/And On And On,Janet Jackson,,,,,,
Anything For You,Gloria Estefan,Miami Sound Machine,,,,,
Apologize,Timbaland,OneRepublic,,,,,
Applause,Lady Gaga,,,,,,
Armageddon It,Def Leppard,,,,,,
Around The Way Girl,LL Cool J,,,,,,
As I Lay Me Down,Sophie B. Hawkins,,,,,,
As Long As You Love Me,Justin Bieber,Big Sean,,,,,
At This Moment,Billy Vera And The Beaters,,,,,,
At Your Best,Aaliyah,,,,,,
Auld Lang Syne,Kenny G,,,,,,
Axel F,Harold Faltermeyer,,,,,,
Ayo Technology,50 Cent,Justin Timberlake,Timbaland,,,,
Baby,Brandy,,,,,,
Baby,Justin Bieber,Ludacris,,,,,
Baby Baby,Amy Grant,,,,,,
Baby Boy,Beyonce,Sean Paul,,,,,
Baby Don't Forget My Number,Milli Vanilli,,,,,,
Baby Got Back,Sir Mix-A-Lot,,,,,,
Baby I Love Your Way,Big Mountain,,,,,,
Baby I'm Yours,Shai,,,,,,
Baby Love,Regina,,,,,,
Baby  I Love Your Way/Freebird Medley,Will To Power,,,,,,
Baby-Baby-Baby,TLC,,,,,,
Back,Aaliyah,,,,,,
Back At One,Brian McKnight,,,,,,
Back For Good,Take That,,,,,,
Back To December,Taylor Swift,,,,,,
Back To Life,Soul II Soul,,,,,,
Bad,Michael Jackson,,,,,,
Bad Boy,Miami Sound Machine,,,,,,
Bad Boys,Inner Circle,,,,,,
Bad Day,Daniel Powter,,,,,,
Bad Medicine,Bon Jovi,,,,,,
Bad Romance,Lady Gaga,,,,,,
Bag Lady,Erykah Badu,,,,,,
Bailamos,Enrique Iglesias,,,,,,
Ballerina Girl,Lionel Richie,,,,,,
Barbie Girl,Aqua,,,,,,
Bartender,T-Pain,Akon,,,,,
Batdance,Prince,,,,,,
Battlefield,Jordin Sparks,,,,,,
Be Good To Yourself,Journey,,,,,,
Be My Lover,La Bouche,,,,,,
Be Near Me,ABC,,,,,,
Be With You,Enrique Iglesias,,,,,,
Be Without You,Mary J. Blige,,,,,,
Beautiful,Christina Aguilera,,,,,,
Beautiful,Snoop Dogg,Pharrell,Uncle Charlie Wilson,,,,
Beautiful Girls,Sean Kingston,,,,,,
Beautiful Liar,Beyonce,Shakira,,,,,
Beauty And A Beat,Justin Bieber,Nicki Minaj,,,,,
Beauty And The Beast,Celine Dion,Peabo Bryson,,,,,
Because I Love You,Stevie B,,,,,,
Because Of Love,Janet Jackson,,,,,,
Because Of You,98 Degrees,,,,,,
Because Of You,Kelly Clarkson,,,,,,
Because Of You,Ne-Yo,,,,,,
Because You Loved Me,Celine Dion,,,,,,
Bed,J. Holiday,,,,,,
Bed Of Roses,Bon Jovi,,,,,,
BedRock,Young Money,Lloyd,,,,,
Been Around The World,Puff Daddy,The Notorious B.I.G.,Mase,,,,
Before He Cheats,Carrie Underwood,,,,,,
Before I Let You Go,BLACKstreet,,,,,,
Before You Walk Out Of My Life/Like This And Like That,Monica,,,,,,
