We Don t Have To Take Our Clothes Off,Jermaine Stewart,
Let Me Love You,Mario,
It's All Coming Back To Me Now,Celine Dion,
You Gotta Be,Des'ree,
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,
All By Myself,Celine Dion,
My Heart Will Go On,Celine Dion,
The Power Of Love,Celine Dion,
Alive And Kicking,Simple Minds,
Red Red Wine,UB40,
Finally,CeCe Peniston,
Body Bumpin Yippie-Yi-Yo,Public Announcement,
More Than Words,Extreme,
Alright,Janet Jackson,
All I Wanna Do,Sheryl Crow,
Hole Hearted,Extreme,
All For Love,Bryan Adams,Rod Stewart
Every Heartbeat,Amy Grant,
Black Cat,Janet Jackson,
What Have You Done For Me Lately,Janet Jackson,
The Lady In Red,Chris De Burgh,
Human,The Human League,
Let s Wait Awhile,Janet Jackson,
Miss You Much,Janet Jackson,
How Can I Fall?,Breathe,
"(Everything I Do) I Do It For You (From ""Robin Hood"")",Bryan Adams,
Heaven,Bryan Adams,
Can t Stop This Thing We Started,Bryan Adams,
Baby Baby,Amy Grant,
Nasty,Janet Jackson,
Tom s Diner,DNA,Suzanne Vega
Secret Lovers,Atlantic Starr,
Rhythm Nation,Janet Jackson,
Summer Of 69,Bryan Adams,
Luka,Suzanne Vega,
Control,Janet Jackson,
Love Will Never Do (Without You),Janet Jackson,
Hands To Heaven,Breathe,
Don t You (Forget About Me),Simple Minds,
Rock Me Amadeus,Falco,
If You Love Somebody Set Them Free,Sting,
Come Back To Me,Janet Jackson,
All This Time,Sting,
When I Think Of You,Janet Jackson,
Diamonds,Herb Alpert,Janet Jackson
If You Leave,Orchestral Manoeuvres In The Dark,
Escapade,Janet Jackson,
Show Me The Way,Styx,
Runaway,Janet Jackson,
Have You Ever Really Loved A Woman?,Bryan Adams,
Don't Cha,The Pussycat Dolls,Busta Rhymes
Strong Enough,Sheryl Crow,
My Humps,The Black Eyed Peas,
Don't Phunk With My Heart,The Black Eyed Peas,
A Thousand Miles,Vanessa Carlton,
Can't Hold Us,Macklemore,Ryan Lewis
Thrift Shop,Macklemore,Ryan Lewis
How We Do,The Game,50 Cent
Hate It Or Love It,The Game,50 Cent
Baby Got Back,Sir Mix-A-Lot,
I ll Always Love You,Taylor Dayne,
The Way You Move,OutKast,Sleepy Brown
Angel Eyes,The Jeff Healey Band,
"Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,
Saving All My Love For You,Whitney Houston,
That s What Friends Are For,Dionne,
All That She Wants,Ace Of Base,
Inside Your Heaven,Carrie Underwood,
Didn t We Almost Have It All,Whitney Houston,
Freeway Of Love,Aretha Franklin,
Maria Maria,Santana,The Product G
The Game Of Love,Santana,Michelle Branch
Complicated,Avril Lavigne,
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,
Run Away,Real McCoy,
Love Will Lead You Back,Taylor Dayne,
The Power,Snap,
U Remind Me,Usher,
Point Of No Return,Expose,
"I Will Always Love You (From ""The Bodyguard"")",Whitney Houston,
Where Do You Go,No Mercy,
Another Night,Real McCoy,
Seasons Change,Expose,
Angel,Sarah McLachlan,
Yeah!,Usher,Lil Jon
Baby Don t Forget My Number,Milli Vanilli,
I Knew You Were Waiting (For Me),Aretha Franklin,
Thank You,Dido,
Songbird,Kenny G,
Smooth,Santana,Rob Thomas
"I Believe In You And Me (From ""The Preacher s Wife"")",Whitney Houston,
With Every Beat Of My Heart,Taylor Dayne,
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,
Girl You Know It s True,Milli Vanilli,
"I Have Nothing (From ""The Bodyguard"")",Whitney Houston,
The Sign,Ace Of Base,
Don t Turn Around,Ace Of Base,
Hey Ya!,OutKast,
You Give Good Love,Whitney Houston,
How Will I Know,Whitney Houston,
So Emotional,Whitney Houston,
I'm With You,Avril Lavigne,
Blame It On The Rain,Milli Vanilli,
Come Go With Me,Expose,
Angel Of Mine,Monica,
Girl I m Gonna Miss You,Milli Vanilli,
The First Night,Monica,
Where Do Broken Hearts Go,Whitney Houston,
Rhythm Is A Dancer,Snap,
All The Man That I Need,Whitney Houston,
Heartbreak Hotel,Whitney Houston,Faith Evans
Everything Your Heart Desires,Daryl Hall John Oates,
Mmm Mmm Mmm Mmm,Crash Test Dummies,
Don t Rush Me,Taylor Dayne,
All Or Nothing,Milli Vanilli,
One Moment In Time,Whitney Houston,
Nobody s Supposed To Be Here,Deborah Cox,
3 A.M. Eternal,The KLF,
U Got It Bad,Usher,
It s Not Right But It s Okay,Whitney Houston,
I ll Be Your Shelter,Taylor Dayne,
"I m Every Woman (From ""The Bodyguard"")",Whitney Houston,
"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,
Get The Party Started,Pink,
Adia,Sarah McLachlan,
Too Close,Next,
My Love Is Your Love,Whitney Houston,
All Around The World,Lisa Stansfield,
Make Me Lose Control,Eric Carmen,
I m Your Baby Tonight,Whitney Houston,
Greatest Love Of All,Whitney Houston,
U Don't Have To Call,Usher,
If Wishes Came True,Sweet Sensation,
Have You Ever?,Brandy,
When I Was Your Man,Bruno Mars,
Sussudio,Phil Collins,
Good Feeling,Flo Rida,
Shake Your Love,Debbie Gibson,
One More Night,Phil Collins,
Locked Out Of Heaven,Bruno Mars,
Turn Me On,Kevin Lyttle,Spragga Benz
18 And Life,Skid Row,
Don t Lose My Number,Phil Collins,
Casanova,Levert,
Nothin' On You,B.o.B,Bruno Mars
Black Velvet,Alannah Myles,
I Love You Always Forever,Donna Lewis,
Separate Lives (Theme From White Nights),Phil Collins,Marilyn Martin
Groovy Kind Of Love,Phil Collins,
Whatever You Like,T.I.,
I Don't Want To Live Without You,Foreigner,
St. Elmo s Fire (Man In Motion),John Parr,
Do You Remember?,Phil Collins,
Low,Flo Rida,T-Pain
From A Distance,Bette Midler,
It's Goin' Down,Yung Joc,
All I Need Is A Miracle,Mike,
What You Need,INXS,
Dead And Gone,T.I.,Justin Timberlake
Unwell,matchbox twenty,
Treasure,Bruno Mars,
Sugar,Flo Rida,Wynter
Me & U,Cassie,
Out Of The Blue,Debbie Gibson,
Baby,Brandy,
Land Of Confusion,Genesis,
It Will Rain,Bruno Mars,
To Be With You,Mr. Big,
New Sensation,INXS,
Return Of The Mack,Mark Morrison,
(When You Gonna) Give It Up To Me,Sean Paul,Keyshia Cole
Two Of Hearts,Stacey Q,
Invisible Touch,Genesis,
Hold On,En Vogue,
Grenade,Bruno Mars,
I Want To Know What Love Is,Foreigner,
Laffy Taffy,D4L,
Airplanes,B.o.B,Eminem
What You Know,T.I.,
Something Happened On The Way To Heaven,Phil Collins,
Lost In Your Eyes,Debbie Gibson,
Temperature,Sean Paul,
"Wild, Wild West",The Escape Club,
