Glad You Came,The Wanted,
Ni**as in Paris,Jay Z Kanye West,
Love Lockdown,Kanye West,
Live Your Life,T.I.,Rihanna
Let's Ride,Montell Jordan,Master P
Gold Digger,Kanye West,Jamie Foxx
Only Girl (In The World),Rihanna,
On The Floor,Jennifer Lopez,Pitbull
Don't Stop The Music,Rihanna,
SOS,Rihanna,
Because Of You,Ne-Yo,
Down On Me,Jeremih,50 Cent
Baby,Justin Bieber,Ludacris
Disturbia,Rihanna,
S&M,Rihanna,
Wake Me Up!,Avicii,
Heartless,Kanye West,
Touch My Body,Mariah Carey,
Birthday Sex,Jeremih,
Take A Bow,Rihanna,
Umbrella,Rihanna,Jay-Z
Don't Forget About Us,Mariah Carey,
Rude Boy,Rihanna,
Runaway Love,Ludacris,Mary J. Blige
Stay,Rihanna,Mikky Ekko
Diamonds,Rihanna,
Swagga Like Us,Jay-Z,T.I.
P.A.S.S.I.O.N.,Rhythm Syndicate,
Be With You,Enrique Iglesias,
Just Can't Get Enough,The Black Eyed Peas,
Telephone,Lady Gaga,Beyonce
Scream & Shout,will.i.am,Britney Spears
Knock You Down,Keri Hilson,Kanye West
LoveGame,Lady Gaga,
The Time (Dirty Bit),The Black Eyed Peas,
Lights,Ellie Goulding,
The Monster,Eminem,Rihanna
Good Vibrations,Marky Mark,
Moves Like Jagger,Maroon 5,Christina Aguilera
Hey Baby,No Doubt,Bounty Killer
Born This Way,Lady Gaga,
Just Dance,Lady GaGa,Colby O'Donis
Give It To Me,Timbaland,Nelly Furtado
The Sweet Escape,Gwen Stefani,Akon
Applause,Lady Gaga,
Fergalicious,Fergie,
Apologize,Timbaland,OneRepublic
Blurred Lines,Robin Thicke,T.I.
Chasing Cars,Snow Patrol,
Lighters,Bad Meets Evil,Bruno Mars
Crack A Bottle,Eminem,Dr. Dre
The Real Slim Shady,Eminem,
Call Me Maybe,Carly Rae Jepsen,
London Bridge,Fergie,
Dangerous,Kardinal Offishall,Akon
I Need A Doctor,Dr. Dre,Eminem
Glamorous,Fergie,Ludacris
Ayo Technology,50 Cent,Justin Timberlake
Lady Marmalade,Christina Aguilera,Lil' Kim
Payphone,Maroon 5,Wiz Khalifa
Crank That (Soulja Boy),Soulja Boy Tell'em,
All Star,Smash Mouth,
The Way I Are,Timbaland,Keri Hilson
Makes Me Wonder,Maroon 5,
Alejandro,Lady Gaga,
Sexy And I Know It,LMFAO,
Berzerk,Eminem,
Stickwitu,The Pussycat Dolls,
Radioactive,Imagine Dragons,
Poker Face,Lady Gaga,
Party Rock Anthem,LMFAO,Lauren Bennett
The Edge Of Glory,Lady Gaga,
Not Afraid,Eminem,
Imma Be,The Black Eyed Peas,
Boom Boom Pow,The Black Eyed Peas,
Gives You Hell,The All-American Rejects,
Hollaback Girl,Gwen Stefani,
Hero,Enrique Iglesias,
Like A G6,Far*East Movement,Cataracs
Counting Stars,OneRepublic,
Kiss Me Thru The Phone,Soulja Boy Tell 'em,Sammie
Love The Way You Lie,Eminem,Rihanna
Bad Romance,Lady Gaga,
Buttons,The Pussycat Dolls,Snoop Dogg
Makes Me Wonder,Maroon5,
No Diggity,BLACKstreet (,Dr. Dre)
I Gotta Feeling,The Black Eyed Peas,
Poker Face,Lady GaGa,
Big Girls Don't Cry,Fergie,
Clumsy,Fergie,
Paper Planes,M.I.A.,
One More Night,Maroon 5,
Crank That (Soulja Boy),Soulja Boy,
Underneath It All,No Doubt,Lady Saw
Addicted To Love,Robert Palmer,
Higher Love,Steve Winwood,
How Deep Is Your Love,Dru Hill,Redman
Shake It Off,Mariah Carey,
I Didn t Mean To Turn You On,Robert Palmer,
We Belong Together,Mariah Carey,
In My Bed,Dru Hill,
I Still Haven t Found What I m Looking For,U2,
The Reason,Hoobastank,
Desire,U2,
Dip It Low,Christina Milian,
With Or Without You,U2,
I Believe,Fantasia,
Just A Friend 2002,Mario,
All Or Nothing,O-Town,
You Don't Know My Name,Alicia Keys,
If I Ain't Got You,Alicia Keys,
Flying Without Wings,Ruben Studdard,
Fallin',Alicia Keys,
I Know What You Want,Busta Rhymes,Mariah Carey
F**kin' Perfect,P!nk,
DJ Got Us Fallin' In Love,Usher,Pitbull
Hold It Against Me,Britney Spears,
OMG,Usher,will.i.am
3,Britney Spears,
Raise Your Glass,P!nk,
Till The World Ends,Britney Spears,Nicki Minaj
Slam,Onyx,
Naughty Girls (Need Love Too),Samantha Fox,
This I Promise You,N Sync,
Down Low (Nobody Has To Know),R. Kelly,Ronald Isley
Everybody [Backstreet s Back],Backstreet Boys,
Bye Bye Bye,N Sync,
I Can't Sleep Baby (If I),R. Kelly,
She s Playing Hard To Get,Hi-Five,
Lover Boy,Billy Ocean,
There ll Be Sad Songs (To Make You Cry),Billy Ocean,
When The Going Gets Tough (Jewel Of The Nile Theme),Billy Ocean,
I Wanna Know,Joe,
I m Your Angel,R. Kelly,
"Get Outta My Dreams, Get Into My Car",Billy Ocean,
Rock Your Body,Justin Timberlake,
Ignition,R. Kelly,
You Remind Me Of Something,R. Kelly,
Bump N Grind,R. Kelly,
Cry Me A River,Justin Timberlake,
All I Have To Give,Backstreet Boys,
Quit Playing Games (With My Heart),Backstreet Boys,
Girlfriend,'N Sync,Nelly
It s Gonna Be Me,N Sync,
Stutter,Joe,Mystikal
Touch Me (I Want Your Body),Samantha Fox,
I Like The Way (The Kissing Game),Hi-Five,
Summertime,D.J. Jazzy Jeff,
...Baby One More Time,Britney Spears,
Suddenly,Billy Ocean,
Freak Me,Silk,
We Fly High,Jim Jones,
Sexy Can I,Ray J,Yung Berg
Because I Love You (The Postman Song),Stevie B,
Red Light Special,TLC,
You're Makin' Me High/Let It Flow,Toni Braxton,
Unpretty,TLC,
Nobody Knows,The Tony Rich Project,
Burn,Usher,
My Way,Usher,
Diggin' On You,TLC,
Ms. Jackson,OutKast,
Creep,TLC,
Most Girls,Pink,
Confessions Part II,Usher,
Nice & Slow,Usher,
My Boo,Usher,Alicia Keys
He Wasn t Man Enough,Toni Braxton,
No Scrubs,TLC,
You Make Me Wanna...,Usher,
Baby-Baby-Baby,TLC,
Breathe Again,Toni Braxton,
Un-Break My Heart,Toni Braxton,
Waterfalls,TLC,
Crazy,Gnarls Barkley,
I'll Be,Edwin McCain,
Cupid's Chokehold,Gym Class Heroes,Patrick Stump
Picture,Kid Rock,Sheryl Crow Or Allison Moorer
I ll Be,Edwin McCain,
If You're Gone,matchbox twenty,
Every Morning,Sugar Ray,
Bent,matchbox twenty,
I Will Always Love You,Whitney Houston,
Whoomp! (There It Is),Tag Team,
